dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,160.0,41,StaticBest-cal,,0.018783719799553497,0.0006591208028441355,0.0011228385358185494,0.0011228385358185494,0.6004658688235281
pooled,160.0,41,CostGreedy-cal,,0.018783719799553497,0.0006591208028441355,0.001796541657309679,0.001796541657309679,0.6004658688235281
pooled,160.0,41,Static-Qwen3,,0.018783719799553497,0.0006591208028441355,0.0011228385358185494,0.0011228385358185494,0.6004658688235281
pooled,160.0,41,Static-SPLADE,,0.016173328297370636,0.0,0.0,0.0,0.5500334593415651
pooled,160.0,41,Static-ColBERTv2,,0.43583856926386816,0.40916736773462575,0.67547534643893,0.67547534643893,0.6193846428356592
pooled,160.0,41,Static-E5,,0.016173328297370636,0.0,0.0,0.0,0.40851633677508015
pooled,160.0,43,CWC,0.03697265959652675,0.015746933469025677,0.0,0.0,0.0,0.5301366593923165
pooled,160.0,43,StaticBest-cal,,0.018314588108440458,0.0006483297949531053,0.0006825938566552901,0.0006825938566552901,0.5988813430286787
pooled,160.0,43,CostGreedy-cal,,0.018314588108440458,0.0006483297949531053,0.0013651877133105802,0.0013651877133105802,0.5988813430286787
pooled,160.0,43,Static-Qwen3,,0.018314588108440458,0.0006483297949531053,0.0006825938566552901,0.0006825938566552901,0.5988813430286787
pooled,160.0,43,Static-SPLADE,,0.015746933469025677,0.0,0.0,0.0,0.5507624934868395
pooled,160.0,43,Static-ColBERTv2,,0.44692461583779813,0.41861557514355074,0.6825344714379514,0.6825344714379514,0.625248229078863
pooled,160.0,43,Static-E5,,0.015746933469025677,0.0,0.0,0.0,0.4082917386584231
pooled,160.0,47,CWC,0.040081842475552056,0.016868193765897394,0.0,0.0,0.0,0.6862541173923585
pooled,160.0,47,StaticBest-cal,,0.016868193765897394,0.0,0.0013336296954878863,0.0013336296954878863,0.6050499749370174
pooled,160.0,47,CostGreedy-cal,,0.016868193765897394,0.0,0.002222716159146477,0.002222716159146477,0.6050499749370174
pooled,160.0,47,Static-Qwen3,,0.016868193765897394,0.0,0.0013336296954878863,0.0013336296954878863,0.6050499749370174
pooled,160.0,47,Static-SPLADE,,0.016868193765897394,0.0,0.0,0.0,0.5569021126922015
pooled,160.0,47,Static-ColBERTv2,,0.44764216541728463,0.4188811514180364,0.681413112667091,0.681413112667091,0.6324639371003119
pooled,160.0,47,Static-E5,,0.016868193765897394,0.0,0.0,0.0,0.4144105309794564
pooled,160.0,53,CWC,0.03513892715597988,0.015968381794955577,0.0,0.0,0.0,0.5305939469309152
pooled,160.0,53,StaticBest-cal,,0.018482940506987927,0.0006349231353563359,0.0013704888076747374,0.0013704888076747374,0.5944693351916325
pooled,160.0,53,CostGreedy-cal,,0.0198951595771071,0.0012698462707126717,0.002055733211512106,0.002055733211512106,0.5944693351916325
pooled,160.0,53,Static-Qwen3,,0.018482940506987927,0.0006349231353563359,0.0013704888076747374,0.0013704888076747374,0.5944693351916325
pooled,160.0,53,Static-SPLADE,,0.015968381794955577,0.0,0.0,0.0,0.546974922667482
pooled,160.0,53,Static-ColBERTv2,,0.4483420951868125,0.41881400796417545,0.679893297765922,0.679893297765922,0.6250992667040866
pooled,160.0,53,Static-E5,,0.015968381794955577,0.0,0.0,0.0,0.40717860801108785
