mode,valid,budget_ms,seed,n_cells,n_eval,n_cal,n_sel,rho_mean,R_cert_bound,viol_certified,ndcg_certified,viol_static,ndcg_static,abstain_frac,deploy_signature,cert_upper_bounds_realized
selection,True,160.0,17,4,1549,518,518,2.740421813412085,0.2612385134651651,0.0012911555842479018,0.5995558860405861,0.0032278889606197547,0.6285701501094293,0.5435765009683667,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
as-released,False,160.0,23,4,1585,500,500,3.006778661492539,0.26682598222154597,0.0037854889589905363,0.6407542960701366,0.0031545741324921135,0.6368129297149656,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
union,True,160.0,23,4,1585,500,500,3.006778661492539,0.28118880702208715,0.0037854889589905363,0.6407542960701366,0.0031545741324921135,0.6368129297149656,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
selection,True,160.0,23,4,1585,500,500,3.006778661492539,0.26682598222154597,0.0018927444794952682,0.6102354707954486,0.0031545741324921135,0.6368129297149656,0.5154574132492113,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
as-released,False,160.0,29,4,1584,501,500,2.858473358884451,0.26651288712467214,0.003787878787878788,0.6412012288012651,0.0031565656565656565,0.6409832478797257,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_post,True
union,True,160.0,29,4,1584,501,500,2.858473358884451,0.2960817090266817,0.003787878787878788,0.6412012288012651,0.0031565656565656565,0.6409832478797257,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_post,True
selection,True,160.0,29,4,1584,501,500,2.858473358884451,0.26651288712467214,0.001893939393939394,0.6094560736360414,0.0031565656565656565,0.6409832478797257,0.5284090909090909,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_post,True
as-released,False,160.0,31,4,1608,489,488,3.1133329600928032,0.27519216331756535,0.003109452736318408,0.633563978940921,0.003109452736318408,0.633563978940921,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_post,True
union,True,160.0,31,4,1608,489,488,3.1133329600928032,0.2916700892377128,0.003109452736318408,0.633563978940921,0.003109452736318408,0.633563978940921,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_post,True
selection,True,160.0,31,4,1608,489,488,3.1133329600928032,0.27519216331756535,0.0012437810945273632,0.6007192750725524,0.003109452736318408,0.633563978940921,0.5043532338308457,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_post,True
